序號,類別,題目,選項A,選項B,選項C,選項D,答案
1,不當內容認知,網路上的資訊五花八門，並非都適合各年齡層的使用者，以下哪一種屬於未滿 18 歲適合瀏覽的網站內容？,色情影片。,線上簽賭。,情色文學。,益智遊戲節目。,D
2,不當內容認知,在網路上散布不當的文字或影片內容可能涉及違法行為，以下哪一種行為不違法且合乎禮儀？,虐待動物的圖片、影片。,霸凌他人的言論、影片。,轉貼或販賣色情猥褻圖文影片、自拍猥褻內容。,到美食餐廳經店家同意後，在注意拍攝時間的情況下，進行美食照片拍攝與分享。,D
3,不當內容認知,當我們在瀏覽網頁時，螢幕畫面突然出現「是否已滿18歲」的彈跳視窗，這種狀況代表什麼意思？,該網頁內容可能含有成人內容，禁止未滿18歲使用者觀看。,一種新的網站驗證碼機制。,表示網站已遭受駭客攻擊，點擊該視窗可能會造成設備的危害。,網站正在對使用者的年齡進行調查統計。,A
4,不當內容認知,國小學童使用手機上網的比例已越來越高，為避免學童接觸不適合其年齡觀看的網路內容，家長應當如何因應？,只允許小孩上網觀看動畫影片。,在電腦與手機上安裝過濾軟體，例如教育部網路守護天使程式。,限制小孩上網的時間，小孩只能觀看電視。,採取封閉的態度禁止小孩接受多元的資訊。,B
5,不當內容認知,打擊網路不實資訊的方法，「不包括」以下哪一項？,不查驗。,不製造。,不散播。,不輕信。,A
6,行動上網安全,阿米在網路上購物想要透過線上刷卡的功能進行付款，請問在輸入信用卡資料時，下列哪一種是需要注意的資訊安全事項？,信用卡到期日是否有效。,注意網站是否採用安全的加密連線。,信用卡額度是否超額。,信用卡是否有現金回饋。,B
7,保護個人資料,為參加網路抽獎活動，在輸入自己的個人資料時，應注意什麼事項？,應詳閱網站的保密政策及隱私權政策，瞭解個人資料的使用範圍及目的。,活動提供的獎品是否為停產的型號。,獎品價值是否有超過一萬元以上。,得獎名單的公布日期。,A
8,保護個人資料,以下哪一種人的個人資料不受「個人資料保護法」的保護？,已死亡者。,80歲以上的年長者。,未成年者。,自然人。,A
9,保護個人資料,有關我國「個人資料保護法」主要目的為避免人格權受到侵害，請問其中所指的個人資料「不包含」下列哪一項？,姓名與身分證字號。,醫療與病例資料。,犯罪前科紀錄。,外貌美醜。,D
10,保護個人資料,個人資料遭受洩漏的事件時有所聞，以下哪一項「不是」導致此情形的原因？,國內對於個資外洩沒有相關的罰則。,輕忽駭客入侵的風險。,網站平臺的系統漏洞沒有修補。,個人資料保護的防護措施不周全。,A
11,保護個人資料,在安裝與使用APP時，為了避免個人資料外洩的風險，以下敘述哪一項正確？,安裝防毒APP就能避免個人資料洩漏。,不要安裝免費的APP就能避免個人資料洩漏。,審慎給予APP存取權限。,隱私權聲明內容太多，隨便看看就好。,C
12,著作權合理使用,創作共用授權條款（Creative Commons License 簡稱CC授權）保障了創作人的著作權，也能讓使用者在符合條件下進行使用與散布該著作，以下有關CC授權著作的描述哪一項較為正確？,只要有標示CC授權的著作即可隨意修改。,只要註明出處，就可以隨意利用有CC授權標示的照片。,只要已被標示為CC授權，創作人就失去提出侵權抗議的權力。,須遵循創作人設定的授權條件，有時也有可能需要付費。,D
13,著作權合理使用,好友透過即時通訊APP傳遞熱門院線電影影片給你，請問以下哪一項是正確的？,即使沒有將影片下載至自己的手機內，朋友傳非正版影片給我，我一樣是侵犯著作權的共犯，亦已構成違法行為。,因為是私下的傳遞，所以沒有著作權的問題，可以放心下載來看。,畢竟不是自己上傳的影片，所以轉傳影片至其他非公開群組也沒關係。,此種行為已經違法，應提醒好友停止傳遞的行為。,D
14,著作權合理使用,依照著作權法規定，一件作品受到著作權保護的首要條件必須是有人類精神力灌注其中的作品，下列哪一項屬於著作權法所保障的範圍？,公開在攝影比賽網站的優勝作品。,貓狗自己用腳印亂沾顏料的畫作。,猴子對著鏡頭露齒微笑的自拍照。,逗號、句號、分號等的標點符號。,A
15,著作權合理使用,小明在網路上看到一篇文章覺得不錯，進而轉載文章，最後被告知侵犯了著作權，以下方式哪一項可以讓他避免侵犯著作權？,修改文章標題後再發布。,徵求原作者的同意並在文章內載明資料來源，如作者名、時間年份等。,把文章分成上下兩篇，不要一次全部轉載。,調整文章段落順序。,B
16,著作權合理使用,關於免費軟體的使用，以下哪一種行為較為恰當？,在公司電腦使用免費家用版本。,將免費軟體以相當便宜的價格賣給朋友。,推薦朋友至免費軟體官網下載。,將多套免費軟體燒成光碟片贈送給朋友。,C
17,電腦安全防範,在公眾場合想要連接無線網路時，如果手機搜尋到無須密碼驗證的Wi-Fi熱點，以下哪一種行為較恰當？,免費的Wi-Fi很方便，所以可以放心使用。,偷偷連線，但最好不要超過10分鐘。,不要使用，因為透過不明連線傳輸資料，可能會被竊取。,可以使用，並分享給身邊的朋友一起使用。,C
18,電腦安全防範,阿志買了一臺新的筆記型電腦，以下哪一項行為對筆記型電腦的資安防護沒有幫助？,安裝防毒軟體,開啟防火牆設定,安裝通訊軟體,設定作業系統自動更新,C
19,電腦安全防範,使用需要登入帳號密碼以及填寫信用卡號的網站，為避免帳號及密碼等重要資訊被竊取，要注意網站連線應採用哪一種協定比較安全？,ftp。,http。,telnet。,https。,D
20,電腦安全防範,小安自行重灌電腦，在安裝軟體時，以下哪一種行為是正確的？,盡量選擇網路論壇提供的免費軟體。,購買與使用正版的軟體。,以個人需求為主要考量，盜版軟體也很好用。,下載他人製作好的一鍵安裝包。,B
21,網路服務平臺安全使用,近年來社群網站很流行，可以向朋友分享近況及互動按讚，請問下列哪一種行為可能會導致個人隱私的危害？        ,不填寫完整的個人資料。,避免在其他平臺使用同一帳號。,將貼文隱私選項設定為公開狀態。,過濾分享的內容，避免私密資訊的發布,C
22,網路服務平臺安全使用,阿廣每天都會利用社群網站追蹤朋友的動態，請問以下哪一種行為較不恰當？        ,看到朋友有趣的照片給予按讚認同。,發言詢問美食餐廳地址。,未經朋友同意就分享朋友的照片與動態。,朋友發表與自己立場不同的言論，還是予以尊重，不留言攻擊。,C
