"Index","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2007-01-03",3.0817859172821,3.09214305877686,2.92499995231628,2.99285697937012,1238319600,2.53031945228577
"2007-01-04",3.00178599357605,3.06964302062988,2.99357104301453,3.05928611755371,847260400,2.58648133277893
"2007-01-05",3.06321406364441,3.0785710811615,3.01428604125977,3.03749990463257,834741600,2.56806230545044
"2007-01-08",3.0699999332428,3.09035706520081,3.04571390151978,3.05250000953674,797106800,2.58074426651001
"2007-01-09",3.08750009536743,3.32071399688721,3.04107093811035,3.30607104301453,3349298400,2.79512715339661
"2007-01-10",3.38392901420593,3.49285697937012,3.33750009536743,3.46428608894348,2952880000,2.92888975143433
"2007-01-11",3.42642903327942,3.45642900466919,3.39642906188965,3.4214289188385,1440252800,2.89265608787537
"2007-01-12",3.37821388244629,3.39499998092651,3.32964301109314,3.37928605079651,1312690400,2.85702657699585
"2007-01-16",3.41714310646057,3.47321391105652,3.40892910957336,3.46785688400269,1244076400,2.93190860748291
"2007-01-17",3.48428606987,3.48571395874023,3.38642907142639,3.3910710811615,1646260000,2.8669900894165
"2007-01-18",3.28928589820862,3.28964304924011,3.18035697937012,3.18107104301453,2364605600,2.68944478034973
"2007-01-19",3.16535711288452,3.20178604125977,3.14714288711548,3.16071391105652,1364473600,2.67223429679871
"2007-01-22",3.18357110023499,3.18428611755371,3.05892896652222,3.09964299201965,1454026000,2.62060165405273
"2007-01-23",3.06178593635559,3.12535691261292,3.05392909049988,3.06071400642395,1207424400,2.5876886844635
"2007-01-24",3.09571409225464,3.11249995231628,3.07428598403931,3.09642910957336,927813600,2.61788439750671
"2007-01-25",3.11107110977173,3.16071391105652,3.07249999046326,3.08035707473755,905973600,2.6042959690094
"2007-01-26",3.11107110977173,3.12035703659058,3.0353569984436,3.04928588867188,986874000,2.57802748680115
"2007-01-29",3.0821430683136,3.09464311599731,3.05464291572571,3.06928610801697,901664400,2.59493589401245
"2007-01-30",3.08678603172302,3.08892893791199,3.04464292526245,3.05535697937012,577970400,2.58316016197205
"2007-01-31",3.03071403503418,3.07142901420593,3.01250004768372,3.06178593635559,856069200,2.58859610557556
"2007-02-01",3.07964301109314,3.08107089996338,3.02642893791199,3.02642893791199,664342000,2.55870270729065
"2007-02-02",3.00428605079651,3.04464292526245,2.98928594589233,3.02678608894348,621530000,2.55900478363037
"2007-02-05",3.01071405410767,3.04392910003662,2.99785709381104,2.99785709381104,578852400,2.53454780578613
"2007-02-06",3.0160710811615,3.01678609848022,2.95928597450256,3.00535702705383,864393600,2.54088735580444
"2007-02-07",3.01714301109314,3.08500003814697,2.9839289188385,3.07678604125977,1066825200,2.60127687454224
"2007-02-08",3.05107092857361,3.0896430015564,3.05035710334778,3.07785701751709,679030800,2.60218191146851
"2007-02-09",3.06714296340942,3.0785710811615,2.97178602218628,2.97392892837524,860540800,2.51431655883789
"2007-02-12",3.01535701751709,3.04214310646057,2.98678588867188,3.03142905235291,724071600,2.5629301071167
"2007-02-13",3.04142904281616,3.04607105255127,3.01071405410767,3.02500009536743,580986000,2.55749416351318
"2007-02-14",3.02250003814697,3.05857110023499,3.02035689353943,3.0464289188385,507981600,2.57561206817627
"2007-02-15",3.05142903327942,3.05785703659058,3.02785706520081,3.0432140827179,363661200,2.57289433479309
"2007-02-16",3.04464292526245,3.05035710334778,3.0235710144043,3.02964305877686,399868000,2.56142020225525
"2007-02-20",3.02321410179138,3.07714295387268,3.00571393966675,3.06785702705383,617702400,2.59372901916504
"2007-02-21",3.07071399688721,3.19607090950012,3.0699999332428,3.18571400642395,1155313600,2.6933708190918
"2007-02-22",3.24285697937012,3.24321389198303,3.16178607940674,3.19678592681885,838224800,2.70273113250732
"2007-02-23",3.18428611755371,3.2264289855957,3.17321395874023,3.18107104301453,517893600,2.68944478034973
"2007-02-26",3.20857095718384,3.21428608894348,3.12892889976501,3.16107106208801,615848800,2.67253589630127
"2007-02-27",3.0821430683136,3.10999989509583,2.97892904281616,2.99749994277954,1145813200,2.53424453735352
"2007-02-28",2.96428608894348,3.05714297294617,2.96428608894348,3.02178597450256,919475200,2.55477786064148
"2007-03-01",3.00107097625732,3.15392899513245,2.99107098579407,3.10928606987,1415528800,2.62875437736511
"2007-03-02",3.09892892837524,3.12642908096313,3.0432140827179,3.05035710334778,860000400,2.57893180847168
"2007-03-05",3.06750011444092,3.16607093811035,3.06285691261292,3.08285689353943,838899600,2.60640978813171
"2007-03-06",3.13571405410767,3.15392899513245,3.12142896652222,3.14964294433594,723186800,2.66287398338318
"2007-03-07",3.1446430683136,3.17750000953674,3.12321400642395,3.13285708427429,626284400,2.64868235588074
"2007-03-08",3.1639289855957,3.16857099533081,3.12357091903687,3.14285707473755,511011200,2.65713667869568
"2007-03-09",3.1714289188385,3.17321395874023,3.12142896652222,3.14178609848022,451836000,2.65623140335083
"2007-03-12",3.14535689353943,3.21392893791199,3.14249992370605,3.20964288711548,729408400,2.71360063552856
"2007-03-13",3.19321393966675,3.23571395874023,3.15714311599731,3.15714311599731,867890800,2.66921544075012
"2007-03-14",3.16428589820862,3.21428608894348,3.14000010490417,3.21428608894348,796586000,2.71752715110779
"2007-03-15",3.21285700798035,3.22714304924011,3.18964290618896,3.19892907142639,559498800,2.70454335212708
"2007-03-16",3.19785690307617,3.21392893791199,3.19000005722046,3.19964289665222,571704000,2.70514750480652
"2007-03-19",3.2228569984436,3.2696430683136,3.19964289665222,3.25464296340942,712961200,2.75164771080017
"2007-03-20",3.26250004768372,3.27999997138977,3.25214290618896,3.26714301109314,488916400,2.76221466064453
"2007-03-21",3.2853569984436,3.35714292526245,3.27321410179138,3.35249996185303,686896000,2.83438038825989
